recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,1.0000000000,
0.1379310345,1.0000000000,
0.1724137931,1.0000000000,
0.2068965517,1.0000000000,
0.2413793103,1.0000000000,
0.2758620690,1.0000000000,
0.3103448276,1.0000000000,
0.3448275862,1.0000000000,
0.3793103448,1.0000000000,
0.4137931034,0.8571428571,
0.4482758621,0.8666666667,
0.4827586207,0.3414634146,
0.5172413793,0.3409090909,
0.5517241379,0.3137254902,
0.5862068966,0.2833333333,
0.6206896552,0.2812500000,
0.6551724138,0.2533333333,
0.6896551724,0.2500000000,
0.7241379310,0.2000000000,
0.7586206897,0.1913043478,
0.7931034483,0.1932773109,
0.8275862069,0.2000000000,
0.8620689655,0.1760563380,
0.8965517241,0.1238095238,
0.9310344828,0.0947368421,
0.9655172414,0.0955631399,
1.0000000000,0.0868263473,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
