recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,1.0000000000,
0.1379310345,1.0000000000,
0.1724137931,1.0000000000,
0.2068965517,1.0000000000,
0.2413793103,1.0000000000,
0.2758620690,1.0000000000,
0.3103448276,0.9000000000,
0.3448275862,0.8333333333,
0.3793103448,0.8461538462,
0.4137931034,0.8000000000,
0.4482758621,0.8125000000,
0.4827586207,0.8235294118,
0.5172413793,0.7500000000,
0.5517241379,0.6956521739,
0.5862068966,0.6800000000,
0.6206896552,0.6000000000,
0.6551724138,0.1900000000,
0.6896551724,0.1769911504,
0.7241379310,0.1590909091,
0.7586206897,0.1222222222,
0.7931034483,0.1204188482,
0.8275862069,0.0816326531,
0.8620689655,0.0560538117,
0.8965517241,0.0571428571,
0.9310344828,0.0576923077,
0.9655172414,0.0561122244,
1.0000000000,0.0512367491,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
