recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,1.0000000000,
0.1379310345,1.0000000000,
0.1724137931,0.8333333333,
0.2068965517,0.8571428571,
0.2413793103,0.7000000000,
0.2758620690,0.7272727273,
0.3103448276,0.7500000000,
0.3448275862,0.7692307692,
0.3793103448,0.7857142857,
0.4137931034,0.8000000000,
0.4482758621,0.7647058824,
0.4827586207,0.7368421053,
0.5172413793,0.6250000000,
0.5517241379,0.6400000000,
0.5862068966,0.6071428571,
0.6206896552,0.5625000000,
0.6551724138,0.1938775510,
0.6896551724,0.1724137931,
0.7241379310,0.1381578947,
0.7586206897,0.1208791209,
0.7931034483,0.1161616162,
0.8275862069,0.0827586207,
0.8620689655,0.0553097345,
0.8965517241,0.0570175439,
0.9310344828,0.0567226891,
0.9655172414,0.0563380282,
1.0000000000,0.0516934046,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
